Seed,Method,Accuracy,Precision,Recall,F1,AUC-ROC,Deletion_Score,Insertion_Score,ROAR_0%,ROAR_20%,ROAR_40%,ROAR_60%,ROAR_80%
0,IntegratedGradients,1.0,1.0,1.0,1.0,1.0,0.5925,0.96375,1.0,1.0,0.9400000000000001,0.9400000000000001,1.0
0,DeepLift,1.0,1.0,1.0,1.0,1.0,0.58125,0.96375,1.0,0.9,0.9800000000000001,0.92,1.0
0,GradientShap,1.0,1.0,1.0,1.0,1.0,0.5675,0.96375,1.0,1.0,1.0,0.8600000000000001,0.4600000000000001
1,IntegratedGradients,0.9333333333333333,0.9090909090909091,1.0,0.9523809523809523,0.8800000000000001,0.5162500000000001,0.90125,0.8800000000000001,0.8,0.48000000000000004,0.6,0.56
1,DeepLift,0.9333333333333333,0.9090909090909091,1.0,0.9523809523809523,0.8800000000000001,0.5062500000000001,0.90625,0.8800000000000001,0.7000000000000001,0.5800000000000001,0.7000000000000001,0.56
1,GradientShap,0.9333333333333333,0.9090909090909091,1.0,0.9523809523809523,0.8800000000000001,0.51125,0.89875,0.8800000000000001,0.78,0.7000000000000001,0.7000000000000001,0.56
2,IntegratedGradients,0.9333333333333333,0.9090909090909091,1.0,0.9523809523809523,0.9800000000000001,0.785,0.9525000000000001,0.9800000000000001,0.86,0.66,0.7,0.74
2,DeepLift,0.9333333333333333,0.9090909090909091,1.0,0.9523809523809523,0.9800000000000001,0.785,0.9525000000000001,0.9800000000000001,0.8600000000000001,0.74,0.82,0.78
2,GradientShap,0.9333333333333333,0.9090909090909091,1.0,0.9523809523809523,0.9800000000000001,0.7975000000000001,0.9525000000000001,0.9800000000000001,0.8800000000000001,0.66,0.68,0.58
3,IntegratedGradients,0.8,0.8888888888888888,0.8,0.8421052631578947,0.9,0.68625,0.905,0.86,0.64,0.6199999999999999,0.58,0.5900000000000001
3,DeepLift,0.8,0.8888888888888888,0.8,0.8421052631578947,0.9,0.6487499999999999,0.905,0.86,0.64,0.6399999999999999,0.6,0.5900000000000001
3,GradientShap,0.8,0.8888888888888888,0.8,0.8421052631578947,0.9,0.68625,0.905,0.86,0.64,0.6399999999999999,0.58,0.5900000000000001
4,IntegratedGradients,0.8666666666666667,0.9,0.9,0.9,0.96,0.8037500000000001,0.93875,0.92,0.76,0.45999999999999996,0.93,0.71
4,DeepLift,0.8666666666666667,0.9,0.9,0.9,0.96,0.8087500000000001,0.93875,0.92,0.76,0.78,0.8700000000000001,0.89
4,GradientShap,0.8666666666666667,0.9,0.9,0.9,0.96,0.8087500000000001,0.93875,0.92,0.66,0.8200000000000001,0.5,0.87
